SNOMED code	SNOMED descriptor	ICD-O code	topography	filter_code
80891009	Heart	C38.0	top	0_0_0_2_6_0
80944003	Axis of pelvis	C76.3	top	0_0_0_15_3
80973000	Interstitial tissue of eyeball	C69.9	top	0_0_0_13_0_8
80984007	Left lacrimal gland	C69.5	top	0_0_0_13_0_5
81001005	Nasal tip	C30.0	top	0_0_0_2_0_0
81008004	Terminal nerves of cephalic portion of sympathetic nervous system	C47.9	top	0_0_0_6_8
81012005	Cuboid	C40.3	top	0_0_0_3_0_3
81015007	Subthalamic fasciculus	C71.0	top	0_0_0_13_2_0
81016008	Optic disc	C69.2	top	0_0_0_13_0_2
81016008	Optic disc	C72.3	top	0_0_0_13_3_3
81025002	Entire ethmoid sinus gland	C31.1	top	0_0_0_2_1_1
81029008	Infraclavicular part of brachial plexus	C47.1	top	0_0_0_6_1
81036009	Vesical plexus	C47.5	top	0_0_0_6_5
81038005	Subcutaneous tissue of frenulum of clitoris	C51.2	top	0_0_0_10_0_2
81040000	Pulmonary artery	C49.3	top	0_0_0_8_3
81051000	Papillary muscle of conus	C38.0	top	0_0_0_2_6_0
81055009	Fetal bone	C41.9	top	0_0_0_3_1_6
81056005	Atrium of alveolus	C34.9	top	0_0_0_2_4_5
81062000	Meniscofemoral ligament	C49.2	top	0_0_0_8_2
81074001	Posterior auricular nerve	C72.5	top	0_0_0_13_3_5
81083006	Both lips	C00.9	top	0_0_0_0_0_8
81084000	Falx cerebelli	C70.0	top	0_0_0_13_1_0
81087007	Joints	C41.9	top	0_0_0_3_1_6
81105003	Lymph node of neck	C77.0	top	0_0_0_16_0
81113002	Serous layer of peritoneum	C48.2	top	0_0_0_7_2
81117001	Inferior ophthalmic vein	C49.0	top	0_0_0_8_0
81124000	Postauricular region	C76.0	top	0_0_0_15_0
81128002	Aortic sinus	C49.3	top	0_0_0_8_3
81129005	Articular surface, trapezoid, of second metacarpal bone	C40.1	top	0_0_0_3_0_1
81132008	Scalene lymph node	C77.0	top	0_0_0_16_0
81137002	Lamina of thoracic vertebra	C41.2	top	0_0_0_3_1_2
81143000	Eccrine acrospiroma	8402/0	hist	0_0_1_6_9
81151002	Fossa of ductus venosus	C22.0	top	0_0_0_1_7_0
81153004	Capsule of distal interphalangeal joint of fifth toe	C40.3	top	0_0_0_3_0_3
81163007	Entire deep transverse metatarsal ligament	C49.2	top	0_0_0_8_2
81168003	Facet joint	C41.2	top	0_0_0_3_1_2
